Review Text,Review Rate,Review Time,search
"Immer wieder einen Besuch wert. Man sollte ruhig darauf achten, welche Sonderausstellungen es gibt. Manche Exponate verstehe ich persönlich nicht, was dann aber zumindest ein Schmunzeln erzeugt.",4,vor 9 Monaten,Pinakothek+der+Moderne
Ich liebe die Pinakotheken einfach. Das Gebäude spricht schon für sich und überzeugt allein durch die Präsenz. Ein moderner Raum für moderne Kunst!,5,vor einem Monat,Pinakothek+der+Moderne
"Zum Teil schöne Werke. Mir ist aber nicht klar, was Oldtimer und alte Stühle mit Kunst zu tun haben. Aufteilung zum Teil wie schon erwähnt verwirrend und Personal unfreundlich. Ich habe das Gefühl, dass das leider der Standard in allen Münchner Museen ist.",3,vor 10 Monaten,Pinakothek+der+Moderne
Klasse Museum für moderne Kunst und Design. Immer einen Besuch wert!!,4,vor 2 Monaten,Pinakothek+der+Moderne
"Man muss es mögen! Allerdings würde ich nicht mit kleinen Kindern da rein gehen.  Habe ein paar Eltern mit ihren Kindern gesehen und die Kinder haben sich sichtlich gelangweilt. Glaube nicht,  dass die Eltern sich da wirklich mit Genuß durch die Ausstellung bewegen konnten.  Aber für alle anderen ist das empfehlenswert.",3,vor einem Monat,Pinakothek+der+Moderne
"Wir persönlich konnten mit der Kunst nichts anfangen, leider wurde einem auch nichts erklärt.
In jedem Raum sind Wächter. Das ist bestimmt notwendig, gibt einem aber ein …",2,vor 3 Monaten,Pinakothek+der+Moderne
"Ich entdecke wieder aufs Neue die Pinakothek der Moderne. Heute war ich dort um mich von den Bilder von dem berühmten Emil Nolde inspirieren zu lassen. Der Maler gehörte fast 3 Jahre zu Gruppe ""Brücke"". Der Ausstellungsraum wirkt sehr …",5,vor 3 Wochen,Pinakothek+der+Moderne
"Große umfangreiche Ausstellung. Tolle Architektur. Für einen Vormittag etwas viel. Preis von 10,5€ für Studenten etwas happig",4,vor 8 Monaten,Pinakothek+der+Moderne
Eine Unverschämtheit das man an der Kasse gefragt wird ob man sich den Eintritt als Schüler überhaupt leisten kann.,2,vor 8 Monaten,Pinakothek+der+Moderne
"Sehr schöner Ort, an diesem Tag traf die Ausstellung zwar nicht ganz meinem Geschmack. Doch dies liegt immer im Auge des Betrachter:in.
Die gesamte Location ist sehr schön und bietet immer ein paar künstlerische Highlights",5,vor 2 Wochen,Pinakothek+der+Moderne
"Ich habe mit meiner Enkelin den Buckelwal in der Rotunde der Pinakothek besucht. Ein großartiges Objekt. Toll, so ein großes Tier auf diese Art sehen zu können. Sehr beeindruckend was die Natur geschaffen hat und der Künstler für uns Menschen zum Bestaunen angefertigt hat.",5,vor 4 Monaten,Pinakothek+der+Moderne
"Tolle, interessante und immer wechselnde Austellungen von moderner und zeitgenössischer Kunst. Eintritt für Schüler, Studierende und Leute unter 18 Frei. Ist immer einen Besuch wert.",5,vor einem Monat,Pinakothek+der+Moderne
"Die Ausstellung im Architekturmuseum zum Thema Obdachlosigkeit ""Who's next?"" ist extrem textlastig. Interessant fand ich die Architekturmodelle. Aber ob dieses soziale Problem durch eine neue Architektur gelöst werden kann?",3,vor 6 Monaten,Pinakothek+der+Moderne
"Ich war mit meinem Freund ein Wochenende in München.
Durch Zufall haben wir gesehen das es hier Sonntags nur 1€ Eintritt kostet und wollten es uns mal anschauen. …",3,vor einem Jahr,Pinakothek+der+Moderne
"Wenn das Publikum nicht in die Museen darf, müssen die Bilder eben an die frische Luft kommen. Im Münchner Kunstareal werden nun immer abends Werke aus den Sammlungen auf die Museumsfassaden projiziert. Unbedingt!!!",5,vor einem Jahr,Pinakothek+der+Moderne
Die Führung war wirklich sehr gut. Abwechslungsreich mit vielen Hintergrundinfos. An vielen interessanten Details wäre ich ohne Führung sicher einfach vorbeigegangen.,5,vor einem Monat,Pinakothek+der+Moderne
"Ein seht schönes und gut strukturiertes Museum.

Es lädt ein zum Entspannen und Genießen. …",5,vor 2 Monaten,Pinakothek+der+Moderne
"Jetzt ist wieder Salsa-Tanzen!Ein idealer Ort im Freiem,trotzdem überdacht bei Regen,um Salsa cubana tanzen zu können.Gerade in der Corona-Zeit ein perfekter Ort.Es kommen oftmals die gleichen netten Menschen und ich freue mich jedes Mal …",5,vor 6 Tagen,Pinakothek+der+Moderne
"Die Pinakothek der Moderne ist immer einen Besuch wert und es gibt viele interessante Ausstellungen. Wer Design, Architektur und moderne Kunst liebt ist hier genau richtig. Am besten am Sonntag kommen, dann kostet der Eintritt nur 1€. Die …",5,vor 2 Jahren,Pinakothek+der+Moderne
"Digitale Ansätze, aber die Webseiten funktionieren nicht und im Untergeschoss (wo man keine mobilen Daten empfangen kann) funktioniert das WLAN nicht. Über die Auswahl der modernen Kunst kann man streiten. Wenig Hintergrundinformationen.",2,vor einem Monat,Pinakothek+der+Moderne
"Modernes Gebäude mit beeindruckender Architektur.  Desingmuseum hat mir persönlich sehr gut gefallen.  An moderner  Kunst  sind zum Teil wirklich schöne Objekte und Bilder zu bestaunen , aber zum Teil auch schwer verdauliches, aber das liegt bekanntlich im Auge des Betrachters.",4,vor 2 Jahren,Pinakothek+der+Moderne
Dank der sehenswerten Sonderausstellungen kann man mehrfach im Jahr anregende Stunden in der Pinakothek der Moderne verbringen. Aber auch die Meisterwerke der Dauerausstellung sind immer wieder sehenswert. Am Sonntag beträgt der Eintritt nur einen Euro!,5,vor 2 Jahren,Pinakothek+der+Moderne
"Es war sehr sehr schön, dahin zu gehen! Herrlich!!!",5,vor einem Monat,Pinakothek+der+Moderne
"Nach langer Zeit wieder in eine Ausstellung gehen zu können, oder etwas Bekanntes in Erinnerung zu rufen, ist Balsam für die Seele. Wenig Besucher, zuvorkommendes Personal und interessante aktuelle Ausstellungen.",5,vor einem Jahr,Pinakothek+der+Moderne
"Absolutes ""Vorzeige""-Museum in München und mein persönliches Lieblingsmuseum in Bayern! Der Bau ist für sich genommen schon ein Kunstwerk - selbstredend sind auch die dort gezeigten Werke absolut relevant und sehenswert. Ein Besuch gehört in München für Kunstliebhaber zum Pflichtprogramm. Alles in allem ein wunderbares Haus!",5,vor 2 Jahren,Pinakothek+der+Moderne
Ein modernes und helles Museum mit beeindruckender Architektur und grossem Fundus und vielen hervorragenden Werken internationaler moderner und zeitgenössischen Künstler. Insbesondere die Sammlung der klassischen Moderne finde ich sehr …,5,vor 3 Jahren,Pinakothek+der+Moderne
"Nach vielen Jahren habe ich es endlich geschafft die Pinakothek zu besuchen.
Ich bin begeistert.
Groß, hell, konzeptionelle Raumaufteilung. Überlegte Aufteilung der …",5,vor 2 Jahren,Pinakothek+der+Moderne
"Interessante Bilder, vielfältige Auswahl,  super die sonntägliche Aktionen für Kinder... Kann man gut angenehme, ruhige Stunden verbringen. Nur die Kennzeichnung der Ausstellungsobjekte an den Eingängen der Räume und nicht am Objekt selber ist ungünstig...",4,vor 3 Jahren,Pinakothek+der+Moderne
Wie immer sehr schöne Sammlung und Ausstellungen- leider ist allerdings das halbe Haus gerade wegen Ausstellungsumbauten nicht zugänglich.,3,vor einer Woche,Pinakothek+der+Moderne
"Leckeres Essen in der Kantine, cooles Gebäude und das wars dann auch. Zur Kunst kann ich leider nichts sagen, weil sie einem in keinster Form erklärt wird. Vlt wäre sie spannend und tiefgründig, aber ohne jeglicher Art von Informationen dazu kann man das schwer einschätzen. Sehr schade!",2,vor 3 Monaten,Pinakothek+der+Moderne
"Sind die 5 Sterne Rezensionen Fake oder hat hier keiner Eier die Wahrheit zu sagen?
Die alte Pinakothek zeigt Meisterwerke, die neue Pinakothek ist dagegen ein …",1,vor 3 Jahren,Pinakothek+der+Moderne
Die Pinakothek der Moderne ist ein wunderbares Museum in München. Besonders die Design-Ausstellung im Untergeschoss ist ganz hervorragend. Diverse Ausstellungsstücke die dem Baushaus-Stil empfunden sind können besichtigt werden. Das Gebäude …,5,vor 3 Jahren,Pinakothek+der+Moderne
"Sehr gut. Bin von einer Ausstellung zur anderen und konnte mich total verlieren. Es war Freitag, also eher weniger los. Alles sehr gepflegt und sauber.
Das Museumsshop ist super ausgestattet und bietet passend zur Ausstellung noch …",5,vor 7 Monaten,Pinakothek+der+Moderne
"Nur die Hauptsaale und die Grafiken sind des Besuchswert.

Der Rest ist unverständlich, einfach bedeutungslose Gegenstände. …",1,vor 2 Monaten,Pinakothek+der+Moderne
"Eine schöne Ausstellung, gut organisiert. Allerdings funktionieren die Schließfächer nur mit 2€ Münzen, also am besten welche mitbringen.",4,vor 5 Monaten,Pinakothek+der+Moderne
"Immer wieder sehenswert, die Ausstellung zu Graphiken aus 4 Jahrhundert en der Serenissima Venedig hat mich sehr berührt. Diese ausdruckstarke skizzenhafte auf das Wesentliche reduzierte Form eines Gedanken als Impuls für ein Gemälde …",4,vor 4 Monaten,Pinakothek+der+Moderne
"Die Pinakothek der Moderne muss man „gespalten“ bewerten:
Architektonisch ist sie nach wie vor eine Zumutung aus Porenbeton, Bausünden und 90% unnötig umbauter Luft. Garniert mit schwergehenden Türen und Toiletten, für …",3,vor 4 Jahren,Pinakothek+der+Moderne
Modernes und schönes Museum mit sehr vielen sehenswerten Kunstwerken.,5,vor 7 Monaten,Pinakothek+der+Moderne
"Tolle Architektur. Bereichernde Ausstellungen über Moderne Malerei, Design und Architektur. Und ein wunderschönes Tagescafé in besonderer Atmosphäre. Überraschen und auf sich wirken lassen!",5,vor 6 Monaten,Pinakothek+der+Moderne
Vorab ick nich viel Ahnung von Kunst. Frauchen is aber Dr. für Kunst. Dat glaub ich wat heißen. Also muss et jut sein.,5,vor einer Woche,Pinakothek+der+Moderne
"Teils sehr schöne, moderne Kunstwerke. Man sieht das moderne Kunst auch für den ""einfachen"" Menschen verständlich sein kann.
Viele Kunstwerke sind für mich aber mehr als fragwürdig. Vermutlich steht da …",4,vor 7 Monaten,Pinakothek+der+Moderne
"Die Pinakothek der Moderne vereint unterschiedliche Museen in einem Gebäude: Sammlungen von Gemälden und Skulpturen, Architektur, Grafische Sammlung, Design, Schmuck-Design ganz unten. Besonders günstig an Sonntagen (1 €), aber da ist es …",5,vor 3 Jahren,Pinakothek+der+Moderne
"Alle Klassiker der Moderne sind vorhanden. Sehr weitläufiges Museum. Viel Platz  für wechselnde Ausstellungen.  Lohnt sich also auch, mal wieder dorthin zu gehen. Abteilung Design auch sehr interessant, da trifft man viele alte Bekannte aus …",4,vor 4 Jahren,Pinakothek+der+Moderne
"Eindrucksvolle Architektur, manche schwer zugängliche Kunst. Das nächste Mal nur mit Führung. Aber sehr freundliche und auskunftsbereite Mitarbeiter/innen!",4,vor 3 Monaten,Pinakothek+der+Moderne
Schönes Museum - viel zu gucken und architektonisch wertvoll,5,vor einer Woche,Pinakothek+der+Moderne
"Großzügige, Licht durchflutete Architektur, beeindruckende Dauer- und Sonderausstellungen, freundliches Personal.
Ein Besuch ist sehr empfehlenswert.",5,vor 4 Monaten,Pinakothek+der+Moderne
Unfreundlichstes und unprofessionellstes Personal das mir je untergekommen ist. Bekommen keinen einzigen geraden Satz auf deutsch heraus und sind auch auf freundliche Nachfrage zu keinerlei Informationshilfe in der Lage. Hier sollte dann doch noch etwas nachgeschult werden oder auf mehr Sorgfalt bei der Personalauswahl gelegt werden.,2,vor 4 Monaten,Pinakothek+der+Moderne
Lohnenswert! Sehr abwechslungsreich!,4,vor 3 Monaten,Pinakothek+der+Moderne
"Eines der besten Museen für Modern Art. Von Picasso über Beuys bis hin zu Design-Klassiker von Eames und Braun, es gibt für jedes was zu entdecken. Ebenso architektonisch ist die Pinakothek der Moderne sehr sehenswert.
Sonntags gibts den Eintritt für 1€. Unbedingt hingehen.",5,vor 3 Jahren,Pinakothek+der+Moderne
Eines der besten Museen Münchens. Wechselnde Ausstellungen insbesondere im Erdgeschoss zur Stadtentwicklung und Urbanisierungsthemen. Sonntags kostet der Eintritt nur 1 €!,5,vor 5 Jahren,Pinakothek+der+Moderne
"Es handelt sich um eine Kunstausstellung für moderne Kunst, das inkludiert zum Beispiel auch KI-Robotikdesign, moderne Architektur und es gibt dort sogar ein paar Kraftfahrzeuge. …",5,vor 10 Monaten,Pinakothek+der+Moderne
"Tolles Museum für den Freund der modernen Kunst...
Ob nun Kirchner, Marc, Macke, Schlemmer oder halt Picasso, hier ist für jeden was dabei. …",5,vor 3 Jahren,Pinakothek+der+Moderne
Immer wieder klasse ... egal ob die permanenten Ausstellungen oder die Sonderausstellungen. Sonntags nur 1€. Und auch bei viel Andrang verläuft sich das ganz gut im architektonisch aufregend gestalteten Gebäude. Alleine die Rotunde alleine ist einen Besuch wert.,5,vor 3 Jahren,Pinakothek+der+Moderne
Unglaublich schöne Kunstwerke. Hier vergisst man die Zeit und genießt die schöne Architektur und die Kunst. Einfach beruhigend schön. Gerne wieder. ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️,5,vor 3 Monaten,Pinakothek+der+Moderne
"Immer wieder eine beeindruckende Architektur und coole Exponate. Auch für Interessierte ohne jeglichen künstlerischen verstand geeignet. Ich weiß, wovon ich spreche. Hingehen!",5,vor 2 Jahren,Pinakothek+der+Moderne
"Grandiose Kunst in toller Architektur. Ein must see in München, für alle, die auch nur ein bisschen kunstinteressiert sind.",5,vor 2 Jahren,Pinakothek+der+Moderne
"Absolut großartig und beeindruckend das Interview mit Shirin Neshat, nur schade, dass im Anschluss ein Besuch der Ausstellung nicht möglich war 🤩",5,vor 2 Monaten,Pinakothek+der+Moderne
Ausstellung Feelings ist ein sehenswertes neues Konzept. Kunst ohne (direkte) Hintergrundinformation einfach mal wirken lassen.,5,vor 2 Jahren,Pinakothek+der+Moderne
Gute Dauerausstellungen und nicht zu teuer. Die zeitlich begrenzten Ausstellungen sind gemischt,4,vor 2 Monaten,Pinakothek+der+Moderne
"Ein tolles Museum mit klaren Strukturen, tollen Werken internationaler Künstler, guten aktuellen Bezügen, unbedingt sehenswert.",5,vor 3 Jahren,Pinakothek+der+Moderne
"Allein von aussen schon sehr sehenswert, grad wegen Lockdown leider zu. Aber schön beleuchtet zur Zeit.",5,vor einem Jahr,Pinakothek+der+Moderne
"Schönes Museum, tolle Bilder. Aber sehr laut, ohne Unterbrechung Führungen die teils mit Spielen (!) die Räume für bis zu einer Stunde blockieren.",3,vor 3 Jahren,Pinakothek+der+Moderne
"Die Vielfalt und Qualität der Ausstellungen macht es zu einem Ort den man immer wieder gerne besucht. Zu sehen sind spannende Positionen der zeitgenössischen Kunst, Architektur, Design und mehr. Das Haus mit seiner besonderen Architektur macht Spass.",5,vor 3 Jahren,Pinakothek+der+Moderne
Eine gute Eingewöhnung für Kids: das Sonntags Ticket.,5,vor 2 Monaten,Pinakothek+der+Moderne
Schönes Gebäude. Manche Art von Kunst wird mir jedoch für immer unverständlich bleiben. Aber der Cappuccino im Cafe ist super!,5,vor einem Jahr,Pinakothek+der+Moderne
Interessante Designausstellung und moderne Kunst...,5,vor 3 Monaten,Pinakothek+der+Moderne
"Waren in diesem Kunstmuseum an einem Sonntag, wo der Eintritt nur 1€ kostet. Das ist preislich natürlich unschlagbar.
Größtenteils konnte ich mit der Kunst zwar nichts anfangen (das ist bei mir aber …",5,vor 10 Monaten,Pinakothek+der+Moderne
"Definitiv einen Besuch wert. Es ist überraschend, welche Vielfalt hier verborgen ist und welche Inspiration und Kreativität ein Besuch hervorrufen kann. Es sind eben nicht nur Kreise und Striche auf Leinwänden. Das ist sicher auch vorhanden und nicht jedermanns Sache, aber die Gesamtausstellung ist toll.",5,vor 3 Jahren,Pinakothek+der+Moderne
Hier findet man aus fast jeder Kunstrichtung Etwas zu bestaunen. Sehr interessantes und beeindruckendes Museum das einfach zu erreichen ist. Wirklich empfehlenswert.,5,vor 7 Monaten,Pinakothek+der+Moderne
Hier kann man staunen und bewundern .Die Fotografien haben ihren eigenen Charme . Jedes wirkt für sich !,5,vor 2 Jahren,Pinakothek+der+Moderne
Tolles Museum aber nicht überragend. Gute Corona Maßnahmen und Testzentrum direkt vor der Tür!,4,vor 5 Monaten,Pinakothek+der+Moderne
Großartiges Museum mit vier Sammlungen unter einem Dach. Großzügige Architektur und fantastische Ausstellungen von großer Vielfalt auf internationalem Niveau.,5,vor 4 Jahren,Pinakothek+der+Moderne
"Die Architektur ist der Hammer. Die Kunstwerke und der Audioguide waren hilfreich. Personal auch nicht aufdringlich.
Nur die Beschilderung der Kunstwerke ist bestimmt besser zu lösen.",4,vor 3 Jahren,Pinakothek+der+Moderne
"Echt großes Gebäude mit vielen Ausstellungsräumen und Elementen. Allerdings gibt es innen keinerlei Wegweiser (was evtl. so gewollt ist im Sinne der modernen Kunst), was den Besuch jedoch etwas erschwert, da …",4,vor 11 Monaten,Pinakothek+der+Moderne
Bedeutende Werke namhafter Künstler der Moderne in einem architektonisch sehr interessanten Gebäude. Die neue Sammlung beinhaltet alles was im Bauhaus wichtig ist und viele weitere Artefakte des Designs des 20. Jahrhunderts. Sehr empfehlenswert.,5,vor 9 Monaten,Pinakothek+der+Moderne
"Aktuell interessante Ausstellung über Obdachlosigkeit und Wohnprojekte. Positiv: wenig Besucher, daher gut möglich Abstand zu halten.
Negativ: Viele Texte zum Lesen",4,vor 6 Monaten,Pinakothek+der+Moderne
"Hab mit meiner Familie eine tolle Ausstellung besucht, sehr empfehlenswert",5,vor 4 Monaten,Pinakothek+der+Moderne
Über Kunst lässt sich bekanntlich streiten. Für meinen Geschmack zu viel Abstraktes. Highlight waren die Exponate zu Bauhaus.,4,vor 5 Monaten,Pinakothek+der+Moderne
Tolle Architektur und daraus resultierend eine wunderbare Atmosphäre. Viele spannende Ausstellungen mit spannenden Konzepten.,4,vor 2 Jahren,Pinakothek+der+Moderne
"Sowohl von der Architektur als auch von den Ausstellungen immer einen Besuch wert. Sehr schöne Auswahl an Exponaten, sehr freundliche Mitarbeiter und ein durchdachtes Leitsystem.",5,vor 3 Jahren,Pinakothek+der+Moderne
"Immer wieder ein tolles Erlebnis, am Sonntag für 1€ Genuß ohne Ende.",5,vor 2 Jahren,Pinakothek+der+Moderne
Wunderbarer Bau mit super Querschnitt der klassischen Moderne. Designbereich auch unbedingt sehenswert. Im Moment läuft eine große Klee Ausstellung.,5,vor 4 Jahren,Pinakothek+der+Moderne
"Ich weiß zwar nicht was genau ich erwartet habe, aber als Leie, welcher kaum was von Kunst versteht ist mir die ganze Ausstellung suspekt...",3,vor 2 Monaten,Pinakothek+der+Moderne
Ich kann nur empfehlen.,5,vor 2 Monaten,Pinakothek+der+Moderne
"Unglaublich schlechte Ausstellung ! An Qualität lässt nur das gesammelte Möbelwerk glänzen - eine Bildqualität ist lang zu suchen ! Zudem hat die Pinakothek ""der Moderne"" wohl den Anschluss an selbiges verpasst ... Im heutigen Zeitalter …",1,vor 3 Jahren,Pinakothek+der+Moderne
"Modernes Kunstmuseum mit guter Klimaanlage, ist also vor allem an sehr heißen Sommertagen einen Besuch wert. Manche Bilder haben mich zwar am Kunstbegriff zweifeln lassen, aber jedem das Seine.",4,vor 3 Jahren,Pinakothek+der+Moderne
"Das Gebäude selbst ist imposant, es gibt zahlreiche ansprechende Werke. Leider ist der Aufbau sehr verwirrend, zwischen den Räumen scheint wenig bis kein Zusammenhang zu bestehen. Vor allem fehlt es an näheren Ausführungen zu den …",3,vor 8 Monaten,Pinakothek+der+Moderne
"Tolle Architektur, interessante Ausstellungen und sonntags nur 1,-€ Eintritt.",5,vor 3 Jahren,Pinakothek+der+Moderne
"Wer München als Tourist einen Besuch abstattet, kann unter eine Vielzahl an absoluten Highlights und Sehenswürdigkeiten aussuchen. Aber die Meisten werden sich nicht unbedingt für die Pinakothek der Moderne entscheiden, wenn man die Qual …",5,vor 4 Jahren,Pinakothek+der+Moderne
Wunderbare Rotunde als Eingangsbereich; faszinierende Wechselausstellungen. Sonntags nur 1 € Eintritt.,5,vor 2 Monaten,Pinakothek+der+Moderne
Der Eintrittspreis am Sonntag war eine freudige Überraschung =1€!! So macht man Kunst auch für Menschen mit kleinem Budget zugänglich!!!,5,vor 3 Jahren,Pinakothek+der+Moderne
"Habe der Pinakothek einen ca. 100 Jahre alten Katalog geschenkt. Leider hatte ich keine Zeit mehr zum Ausstellungsbesuch. Was ich aus den Augenwinkeln erblicken konnte, hat mich neugierig gemacht. Beim nächsten Besuch in München steht ein Besuch ganz oben auf der ToDo-Liste.",4,vor 8 Monaten,Pinakothek+der+Moderne
Ein beängstigend großer Ort: riesige Hallen. Man kann sich verlaufen. Wenn man denn nicht auf Kunst stößt. Picasso zum Beispiel. Der Fotograph mit seinem Modell in blau. Nackt. Das Modell natürlich.,5,vor 8 Monaten,Pinakothek+der+Moderne
Schönes Museum mit tollen wechselnden Ausstellungen. Auch meist kostenlose Events rund um die Ausstellungen für jedermann/frau. Immer ein Besuch wert!,5,vor einem Jahr,Pinakothek+der+Moderne
"Sehr schön. Viel Zeit mitbringen. Tipp, am Sonntag nur ein Euro Eintritt.",5,vor 4 Monaten,Pinakothek+der+Moderne
"Cooles Museum.
Sehr gute Präsentation der Kunstwerke. Viel Platz.
Sonntags kostet der Eintritt für Erwachsene nur 1€ und Kinder bis 18 Jahre sind …",5,vor einem Jahr,Pinakothek+der+Moderne
Eintritt muss vorher online gebucht werden. Beim zweiten Mal hat es dann geklappt. Dadurch aber auch zum ermäßigten Eintritt von 1€ am Sonntag nicht überlaufen. Bilder von der klassischen Moderne bis Beuys und Richter sowie Videoinstallationen. Im UG viele Bauhaus Objekte.,5,vor 9 Monaten,Pinakothek+der+Moderne
"Architektonische meisterleistung , coole & tolle architektur.
Und das museum ist absolut einen besuch wert.
Nur das wachpersonal ( das deutsche wachpersonal ) : …",3,vor 5 Jahren,Pinakothek+der+Moderne
Tolle Atmosphäre. Preis/Leistung spitze. Super Aufteilung und Struktur. Schöne Auswahl. Imposantes Gebäude.,5,vor 6 Monaten,Pinakothek+der+Moderne
Zur Zeit( April - 2022) ein bisschen chaotisch und nicht viele Kunstwerke anzuschauen !😒,3,vor einem Monat,Pinakothek+der+Moderne
Alles in allem einen Besuch wert. Nettes Kunstmuseum mit einigen sehr schönen Stücken und Installationen. …,2,vor 11 Monaten,Pinakothek+der+Moderne
"Schöne Ausstellungskonzepze und faire Preise, insbesondere am Sonntag besonders vergünstigt.",5,vor 4 Jahren,Pinakothek+der+Moderne
Die Pinakothek ist meiner Meinung nach immer einen Besuch Wert; Neues zu entdecken macht richtig Freude,5,vor 4 Monaten,Pinakothek+der+Moderne
Ich bin immer wieder gerne in dieser Pinakothek.,5,vor 5 Monaten,Pinakothek+der+Moderne
"Ein wenig konfuser Zutritt (Schlange an der Tageskasse, auf Empfehlung Online-Tickets mit Zeitfenster erworben, und damit SOFORT auch vor dem gebuchten Zeitfenster reingekommen). Ist frau/man erst mal drin, ist's einfach nur noch grandios...",4,vor 9 Monaten,Pinakothek+der+Moderne
"Zuerst war ich angenehm über den äußerst günstigen Eintrittspreis überrascht. Das ist bei Museen selten,dass Kinder freien Eintritt haben und Erwachsene nur 1 symbolischen Euro zahlen dürfen. …",4,vor 2 Jahren,Pinakothek+der+Moderne
Absolutes muss für Freunde der modernen Kunst. Von Design über installationen bis zur malerei ist alles vertreten. Schöner großzügiger museumsbau und erstklassige Präsentation der Objekte. Gerne wieder.,5,vor 11 Monaten,Pinakothek+der+Moderne
Immer tolle Kulturelle Vielfalt,4,vor 3 Monaten,Pinakothek+der+Moderne
Tolles Gebäude und jederzeit einen Besuch wert.,5,vor 2 Monaten,Pinakothek+der+Moderne
"Sehr entspannend und selbst in vollen Stunden noch sehr entspannt begehbar. Es gibt viel gute zeitgenössische Kunst und immer Mal wieder Sonderausstellungen, die sehr aufwendig und interessant gestaltet sind. Am Sonntag kostet der Eintritt nur 1€, ansonsten bis zu 10€. Man kann also selbst überlegen wieviel Geld man dort lassen will.",5,vor 3 Jahren,Pinakothek+der+Moderne
