Review Text,Review Rate,Review Time,search,insert_date
"Dann kann ich mich nur den positiven Äußerungen der Vorredner:innen anschliessen. Lecker, genial scharf, spannende, tolle Gerichte. Und sonst noch? Netter Service, immer da und super aufmerksam. Auch das neue App-Bestellsystem funktioniert …",5,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
"Meiner Meinung nach das beste chinesische Restaurant in München (Nov. 2021) . Lecker, scharf und gute Atmosphäre.",5,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
Gerichte sehr authentisch und super lecker. Schöne Atmosphäre. Sehr freundliches Personal! Daumen hoch! Immer wieder gerne!,5,vor 10 Monaten,SEEN+RESTAURANT,2022-06-26
"Das beste Restaurant der Sichuan Küche!
Am besten vorher anrufen und reservieren, um die Wartezeit zu verkürzen.",5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
Das Essen war wirklich hervorragend! Von den Kokosbällchen bis zum Fleisch und bis hin zum Fisch. Ein Gedicht! Auch die Dumplings sind sehr lecker. Wirklich alles zu empfehlen und alles 5 Sterne! …,4,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
Sehr leckeres Essen in geselliger Atmosphäre. Besonders gut waren die gemischten Dumplings und das Rindfleisch mit Tofu.,5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
Leider hat die Qualität des Essens immer mehr nachgelassen. Ich war früher sehr oft dort und habe immer zum abholen bestellt. Die letzten zwei Male war das Essen leider ungenießbar. Wir hatten das pork belly welches früher sehr saftig war …,1,vor 2 Monaten,SEEN+RESTAURANT,2022-06-26
"Fantastisches Essen! Super nette Bedienung und schneller Service. Am Besten mit einer größeren Gruppe max 6 Personen hingehen und verschiedene Gerichte bestellen. Ein Geschmackserlebnis und macht zudem viel Spaß, mal andere Gerichte …",5,vor 6 Monaten,SEEN+RESTAURANT,2022-06-26
Authentisches chinesisches Essen . Service top. Bestellungen liefen unkompliziert über App. Gerichte haben ein gutes Niveau genau auf unserem Geschmack.,5,vor 9 Monaten,SEEN+RESTAURANT,2022-06-26
An einem Samstag Abend gegen 20 h waren wir die einzigen Deutschen unter lauter Chinesen. Auch recht viele Kinder. Ziemlich laut und lebhaft. Authentisch. Schön eingerichtet. Freundliche Mitarbeiter. Bestellung über eine App. Essen sehr gut im Geschmack. Große Portionen. Leider war das Rindfleisch bei mehreren Gerichten total zäh.,4,vor 2 Monaten,SEEN+RESTAURANT,2022-06-26
"Der Service ist super, das Ambiente macht auch einen guten Eindruck. Und als ich gegessen hatte wusste ich, dass dies nicht mein letzter Besuch hier gewesen war. Ein tolles Erlebnis! Wirklich nur zu empfehlen!",5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
Hervorragende Szechzan Küche mit vielen authentischen Gerichten. Die Schärfe ist etwas angepasst worden an den deutschen Gaumen aber wenn man bescheid gibt machen sie es auch in original Schärfe. …,5,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
Ich war heute Abend zum ersten Mal dort. Der Service ist spitzenmäßig und die Küche in meinen Augen Weltklasse. Definitiv ein Lokal wo man immer wieder gerne kommt und es seiner Familie und Freunden empfiehlt. Vielen Dank für den tollen Abend,5,vor 5 Monaten,SEEN+RESTAURANT,2022-06-26
"Yung war sehr nett. Das essen war auch sehr lecker, und tolles Ambiente.",5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
"Essen war wirklich richtig gut, dafür war aber der Service unfreundlich. Das Restaurant ist schön eingerichtet.",4,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
Sehr gutes und auch authentisches Essen! Die Mitarbeiter waren sehr freundlich und zuvorkommend. Das Ambiente schön durch die moderne asiatische Einrichtung. Definitiv empfehlenswert!,5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
"Vielen Dank an das Seen Restaurant für diesen ausgezeichneten Abend!
Wir waren heute zu viert an einem gemütlichen Donnerstag im März 2022 bei euch und gingen äußerst glücklich nach mehr als drei Stunden wieder begeistert nach …",5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
"Es war richtig lecker das Essen.  Sehr authentisch die Gerichte. Es war sehr voll, man wurde aber sehr schnell bedient eine Reservierung ist sinnvoll. Das Rindfleisch Gericht war sehr würzig uns leider zu viel Salz.  Der Schweinebauch war …",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
War angenehm und das Essen war in guter Portion und sehr lecker! Authentisches chinesisches Essen! Ist empfehlenswert!,5,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
"Sehr gutes,, authentisches Essen...
Noch nicht ganz wie in Sichuan, aber fast. Vielleicht auch besser so, wenn es von der Schärfe her noch gut eßbar ist für uns Langnasen ;-) Im Sommer definitiv ""renao"" ... es ist gut besucht, auch viele Chinesen, laut und warm, so wie es sein muss ;-)",5,vor einer Woche,SEEN+RESTAURANT,2022-06-26
"Sehr stylisches Ambiente, was eher ungewöhnlich für ein chinesisches Restaurant ist. Cool gemacht. Die Speisen sind alle hervorragend! Wir hatten verschiedene Gerichte - von Suppen über Vorspeisen zu Hauptgängen. Leider sitzt man im …",4,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Tolle Authentisch China Küche, traditionelle aber mit Moderne Design! Man muss mal ausprobieren wenn der Scharf Geschmack liebt. 😉",5,vor 3 Wochen,SEEN+RESTAURANT,2022-06-26
"Nett eingerichtetes Restaurant.
Die Bedienung war (grenzwertig) freundlich, aber schien etwas gelangweilt.
Das Essen war durchgehend gut. Die Saucen waren super lecker. …",4,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Ort sehr nett, service gut und essen war prima",5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
"Eines der sehr wenigen chinesischen Restaurants in München, das Speisen anbietet, die man so auch in Sichuan oder Peking genießen könnte. Sehr schönes und geschmackvolles Ambiente, sehr gute Auswahl von Speisen - bei der Auswahl die Hinweise zur Schärfe beachten - und ein freundlicher, App-basierter Service.",5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
"Ein sehr gemütliches, freundliches und schmackhaftes Restaurant.

In der Nähe des Hauptbahnhofs liegt das Restaurant ""Seen"", was übersetzt ""Wald"" …",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Ich kann die Süßkartoffeln ""Suppe"" empfehlen. Die ist eher wie ein Nudeltopf aber super gut ! Gute Portion und dazu eine Vorspeise reicht locker aus ! …",5,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Das erste Mal in München und dieses kleine Restaurant nicht unweit vom Hauptbahnhof entdeckt. Kurz angerufen, reserviert und als wir dann zur entsprechenden Zeit ankamen, wurden wir freundlich empfangen und zu unserem Platz gebracht. …",4,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Authentisches, köstliches Chinesisches DimSum, gedämpfte oder gebratene Teigtaschen in coolem Ambiente.
Sehr nettes, aufmerksames Personal. Es gibt ein Fenster mit Blick in die Küche, …",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"War ich schon 2 mal dort, meisten Essen sind lecker, aber Service sind zu zu zu langsam, schlechte Belüftung , gibt es kein Garderobe.",3,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Sehr sehr lecker und authentisch 😋
immer wieder gerne hier essen wenn Freunde zu Besuch kommen",5,vor einer Woche,SEEN+RESTAURANT,2022-06-26
Wir hatten mittags sehr leckere Dumplings und einen scharfen Gurkensalat. Das war ein tolles und leichtes Mittagessen. Ich wünschte ich könnte hier regelmäßig essen.,5,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Reservierung wurde trotz Bestätigungsmail nicht eingeplant, mussten am Tresen warten bis ein Tisch frei war. 70min Wartezeit bis die Vorspeise kam. Hähnchendumplings waren ungenießbar. Keinerlei Corona Kontrollen, viele Gäste liefen zudem …",2,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
"Sehr gutes Essen,  modernes Ambiente (nicht so rot-kitschig wie die meisten chinesischen Geldwaschmaschinen). Sehr freundliches Personal  - sie haben sich sogar entschuldigt weil das Essen sehr lange gedauert hat (sowas kennt man in München …",5,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
"Schönes Ambiente, gutes und authentisches Essen. Man sollte vor allem am Wochenende vorher reservieren.",4,vor 8 Monaten,SEEN+RESTAURANT,2022-06-26
"EINE KLEINE GESCHICHTE ZUM THEMA ""DER KUNDE IST KÖNIG""
Wollte hier einen schönen Geburtstagsabend mit meiner Verlobten verbringen.
Essen und Getränke waren toll, allerdings ist mir beim Hauptgang schummerig …",5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
"Hervorragende Szechuanküche, wir waren hier bereits einige Male und es war bei jedem Besuch großartig. Die Portionen sind sehr üppig, was fast schade ist, da man so weniger probieren kann :) …",5,vor 5 Monaten,SEEN+RESTAURANT,2022-06-26
"Chinesische Szechuan-Küche, sehr lecker und empfehlenswert.",5,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
Ok - fand das Essen leider doch ziemlich enttäuschend und preis-Leistung nicht so gut. …,3,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
"Super authentisch! Die Atmosphäre, das Essen, das Personal, alles einfach perfekt!!",5,vor einer Woche,SEEN+RESTAURANT,2022-06-26
Sehr gute Chinesische Küche. Der Service war sehr aufmerksam und das Ambiente ist sehr cool,5,vor 10 Monaten,SEEN+RESTAURANT,2022-06-26
"Ein fantastisches Abend wieder ein mal. Das Personal hat uns jedlichen Wunsch erfüllt. Das Essen kam schnell und fantastisch serviert. Alles schmeckte hervorragend. Die Cocktails einfach super, vor allem auch spezial Wünsche. Vielen lieben Dank. Ein toller Service und leckere Küche.",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
Authentische chinesische Küche - sehr lecker und top Preis-/Leistungsverhältnis. Absolut zu empfehlen.,5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
"Beste chinesische Restaurant in München. Preise in München ist wirklich okay! Geschmack toll, scharf oder nicht scharf kann ich wie in China vorstellen.",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Schmeckt mir sehr gut und die Restaurantumgebung ist schön, der Service ist herzlich, ich kann dieses chinesische Restaurant nur empfehlen",5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
"Leckeres chinesisches Essen. Die Schärfe kann man anpassen. Lasst euch von der Bedienung beraten, denn die Speisekarte ist riesig und es gibt auch eine gesonderte Karte in Chinesich mit Spezial Gerichten. Unbedingt mal ausprobieren!",4,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Besonderes Chinesisches Restaurant, das nicht nur den Standard asiatischen Einheitsbrei anbietet. Leider haben viele Gerichte einen sehr ähnlichen Geschmack, da  meist die gleiche Ölig scharfe Soße dabei ist. Außerdem wurde bei mir der Tofu …",4,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
"Zu Mittag da gewesen. Coole Einrichtung, nicht der klassische Kitsch. Essen sehr lecker- Dumplings zu empfehlen. Wenn jetzt noch erst die Vor und dann die Hauptspeise kommen würde, dann wäre es fasst perfekt. Wir kommen trotzdem wieder.",4,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
"Wunderschönes Restaurant mit sehr leckerem Essen, das man auch gut teilen kann. Wir werden auf jeden Fall wiederkommen!",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
Wir sind ganz spontan in diesem wunderbaren Restaurant gelandet. Das Essen ist authentisch und wirklich sehr lecker! Wir waren zu viert und haben uns verschiedene Gerichte geteilt - jedes einzelne hat sehr gut geschmeckt und uns mit neuen Geschmacksrichtungen begeistert. Wir kommen gerne wieder :),5,vor 10 Monaten,SEEN+RESTAURANT,2022-06-26
"Das Essen (Szechuan-Art) ist vorzüglich, die meisten Gerichte sind scharf, der Service ist in Ordnung.",5,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Extrem leckeres Essen - im hinteren Restaurantbereich ist es leider sehr laut. Dennoch klare Empfehlung für alle, die auf der Suche nach richtig guter chinesischer Küche sind.",5,vor 6 Monaten,SEEN+RESTAURANT,2022-06-26
Ich komme immer gerne weil die Küche des Seen Restaurant in München unübertroffen gut ist. Eine Empfehlung meiner Kollegin aus China,5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
"Das Essen war insgesamt okay, wenn auch eher hochpreisig für die Qualität und Größe der Gerichte. Der Service war leider eher mittelmäßig, gerade hinsichtlich des gezahlten Preises. Die Gerichte der Vorspeise kamen alle zu unterschiedlichen …",3,vor 8 Monaten,SEEN+RESTAURANT,2022-06-26
"Sehr authentisches chinesisches Essen, bin so begeistert und freue mich schon auf den nächsten Besuch.",5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
Das Restaurant ist sehr gemütlich und geschmackvoll eingerichtet. Das Essen war wirklich super lecker! Mein favorite waren die 1000 jährigen Eier 😍,5,vor 6 Monaten,SEEN+RESTAURANT,2022-06-26
"Ich war jetzt zwei mal da und hatte beide Male die selbe Speise. Rindfleisch in einer Schüssel mit viel Chili-Öl und Sichuan Pfeffer und dünnen glasnudeln. Wow, also das schmeckt super. Einfach Wahnsinn, wie lecker das ist. Ich liebe …",5,vor 9 Monaten,SEEN+RESTAURANT,2022-06-26
"Das Essen war sehr lecker. Service was good, but needs some improvement though.",4,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
Ausgezeichnetess Essen!  Kann nur empfehlen. Toufu schmeckt am besten!,5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Sehr gut, sehr lecker. Essen die schwer in Munich zu finden sind. 👍👍",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Mein Lieblingschinese:) Super leckeres, authentisches Essen, große Portionen (sehen auf dem Menü viel kleiner aus). Netter Service und sehr schönes gemütliches Interior.",5,vor 5 Monaten,SEEN+RESTAURANT,2022-06-26
Sehr leckeres chinesisches Essen.,5,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
"Authentisches Essen, super Service, sehr freundliche Bedienung",5,vor 4 Wochen,SEEN+RESTAURANT,2022-06-26
"Bis auf eine sehr nette Kellnerin, kann man den Service vergessen. Die Speisekarte bietet: Fleisch, Fleisch und nochmals Fleisch.
Man muss hier nicht essen... …",3,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
"Hervorragendes, authentisch chinesisches Essen. Hatte ich so außerhalb Chinas noch nicht. …",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Authentisches Essen wie in Sichuan - absolut zu empfehlen. Nettes, sehr bemühtes Personal.",5,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
"Fantastisches leckeres Essen.

Ich habe selten so gut in München gegessen, vor allem Chinesisch. Die dumplings …",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Sehr leckeres Essen! Am besten bestellt man sich mehrere Gerichte, die man sich mit anderen teilt. So kann man verschiedene Gerichte probieren.",5,vor 8 Monaten,SEEN+RESTAURANT,2022-06-26
"Ein freundliches Restaurant mit authentischen  Gerichten und Geschmacks Explosionen.
selten so Gut Chinesisch gegessen, Wir kommen wieder!",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
Wir wurden hier leider nicht bedient da anscheinend die Chinesischen Gäste bevorzugt behandelt wurden. Nach über einer Stunde warten und einigen Malen nachfragen wo das Essen bleibt haben wir uns entschieden woanders essen zu gehen.,1,vor 9 Monaten,SEEN+RESTAURANT,2022-06-26
"Echte traditionelle chinesische Gerichte. Wenn man was außer germanisierte chinesische Gerichte sucht, hier ist richtige.",5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
"Authentisches Essen wie in Sichuan - absolut zu empfehlen. Nettes, sehr bemühtes Personal.",5,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
"Unglaublich lecker! Hat nichts mit den ""üblichen"" Chinesen zu tun. Muss man unbedingt probieren",5,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
Gute Dim Sum in angenehmem Ambiente.,4,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Bis auf eine sehr nette Kellnerin, kann man den Service vergessen. Die Speisekarte bietet: Fleisch, Fleisch und nochmals Fleisch.
Man muss hier nicht essen... …",3,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
Authentische chinesische Küche bei der auch zu Stoßzeiten wie im China üblich das Essen schnell zum Tisch gebracht wird. Sehr lecker und sehr zu empfehlen 😊,5,vor 10 Monaten,SEEN+RESTAURANT,2022-06-26
Sehr authentisches Essen! Netter Service auch! Bestes Sichuan-Restaurant in München meine Meinung nach~,5,vor 8 Monaten,SEEN+RESTAURANT,2022-06-26
Beste chinesische Essen in München,4,vor einem Monat,SEEN+RESTAURANT,2022-06-26
"Service ist nicht 5 Sterne wert, aber Küche auf jeden Fall. Essen war super lecker, Personal freundlich, leider verstehen nicht alle Deutschen.",5,vor 9 Monaten,SEEN+RESTAURANT,2022-06-26
"Das Essen schmeckt super. Das Personal ist sehr nett und Gastfreundlich. Die Speisekarte ist auf Chinesisch Deutsch und Englisch was vorteilhaft ist.
Die Bilder der Speisekarte entsprechen der Realität. Das Restaurant hat eine …",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Echte traditionelle chinesische Gerichte. Wenn man was außer germanisierte chinesische Gerichte sucht, hier ist richtige.",5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
War lange nicht mehr so positiv geflasht! Sehr lecker! Sehr schönes Ambiente! Nur zu empfehlen!,5,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
Sehr lecker und mit viel Herzblut zubereitet.,5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
Schöne Einrichtung die eine angenehme Atmosphäre schafft. Das Essen ist sehr lecker und die Lage ist auch super zu erreichen. Ich war echt positiv überrascht und würde dort auf jeden Fall nochmal hingehen. Das Personal ist freundlich und die Küche sehr schnell in der Zubereitung der Speisen.,5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Waren gestern nach einigen Monaten mal wieder dort. (Beim letzten Besuch hieß es noch LeDu und hatte auch dieselbe Karte wie die Klenzestraße...)
Zunächst enttäuscht über die neue Karte (haben so unsere Lieblingsgerichte ;)). …",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
Die Decke des Münchner Restaurants,5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
"Ein gehobeneres Sichuan-Restaurant mit nettem Ambiente und Dekor. Die Sichuan-Küche ist in den letzten Jahren in China und in auch in Orten wie NYC, London und Paris bei jungen Leuten sehr in den Trend gekommen. Das liegt sicherlich auch am …",5,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Authentische asiatische Küche, erfrischend anders als in vergleichbaren Restaurants. Hervorzuheben sind der Nudelsalat mit Erdnusssoße, der Chinesische Gurkensalat und natürlich die Dumplings - die Spezialität des Hauses. Alle Zutaten sind …",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Pro:
+ stylishes Interieur
+ sehr schick designte Karte …",2,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
Das Essen hat uns hier sehr gut geschmeckt. Besonders gefreut hat uns der authentische Geschmack der Speisen. Auch das Ambiente ist sehr schön.,5,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Supergutes Essen und schöne Einrichtung! Jederzeit wieder, wenn ich in München bin.",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
Gestern zu covid hotspot zeiten da gewesen und man wollte auch noch den 2 Hand breit entfernten Nachbartisch voll besetzen - erst bei Einspruch wurde davon abgesehen. Von niemandem wurde ein Kontaktformular ausgefüllt. …,3,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Seit langer Zeit bin ich Gast in diesem Lokal. In letzter Zeit ist das Personal leider öfter unterbesetzt.  Man muss lange auf einen Kellner warten, oder wird erst gar nicht wahr genommen. Speisen sind sehr gut, alles Gerichte sind durchweg …",2,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Zuallererst: Das Essen ist top!
Die Organisation im Restaurant ist allerdings ein wenig chaotisch. Ein Beispiel, welches das aktuelle Hygienekonzept betrifft: Es gab die Möglichkeit, kontaklos …",4,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Für Firmenfeiern NICHT empfehlenswert! Trotz vorheriger detaillierter Vorbestellung waren die unfreundlichen Bedienungen und die Besitzerin  nicht in der Lage, das Essen richtig auszugeben. Außerdem sollte man nicht zu diesem Restaurant …",1,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Sehr feine, authentische chinesische DimSum Küche in stylischen Ambiente. Man wählt aus einer Vielzahl an Speisen mehrere aus (4 sind im Menüpreis inklusive) und hat so den ganzen Tisch voller kleiner Köstlichkeiten. Die Gerichte waren …",5,vor 4 Jahren,SEEN+RESTAURANT,2022-06-26
"ESSEN war sehr gut. Service befriedigend. Wenn man noch weitere Getänke oder Nachsoeise bestellen wollte musste man sehr viel Geduld haben. Es dauerte zu lange. Ich denke es war zu wenig Personal. Die, die da waren hatten sehr viel zu tun, kamen nicht hinterher.",4,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Gutes Essen, aber....   erstens hat kein Tisch eine Nummer. Wenn viel los ist, bestellt man und die Bedienung hat keine Ahnung, wem sie  es bringen soll. Immer schön die umherirrende Bedienung mit den eigenen Sachen zu beobachten. Was gar …",2,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Nachdem ich mit der Erwartung hinging, dass es so läuft wie im kleinen LeDu in der Theresienstrasse (schneller Imbiss mit gedämpften oder gebratenen gefüllten Teigtaschen, sehr lecker!!!) war es doch eine sehr positive Überraschung - viel …",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Alles in allem gut, die Bedienung war freundlich, das Restaurant sauber und das Essen gut. Etwas befremdlich (und nicht passend zur Leistung und dem Ambiente) war der Preis von knapp über 100 Euro für 8 DimSum Schüsseln, 1 Nachspeise und 4 Gläsern Wein.",3,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Wirklich gute Sichuan Küche. Wer authentisch, chinesisch Essen möchte ist hier wirklich richtig.",5,vor 10 Monaten,SEEN+RESTAURANT,2022-06-26
Das Essen schmeckt gut aber es ist leider zu fettig es würde mir besser schmecken wenn es nicht so wäre. Das Restaurant ist sehr schön eingerichtet. Die Bedienung ist aufmerksam und freundlich.,4,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Unglaublich lecker! Hat nichts mit den ""üblichen"" Chinesen zu tun. Muss man unbedingt probieren",5,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
"Das wunderbarsten Leckerbissen (wortwörtlich) der asiatischen Küche.

Auch nach mehreren Besuchen finde ich noch immer neues auf der Speisekarte und …",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
Maximal lecker! Authentische Chinesische Küche und top Service.,5,vor 7 Monaten,SEEN+RESTAURANT,2022-06-26
"Sehr lecker und authentisch, zum ersten Mal hatte ich das Gefühl dass ich in China wäre. Meine Lieblingsspeise ist 肉沫酸豇豆，馋嘴蛙 ist auch wirklich lecker!",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Definitiv authentisch und sehr schönes Ambiente. Sehr vielfältige Angebote, ideal zum Ausprobieren und Entdecken. Der einzige Nachteil, ein bisschen klein für ein Restaurant.",5,vor einem Jahr,SEEN+RESTAURANT,2022-06-26
"Das Essen schmeckte (anders als in den anderen LeDu Filialen) überhaupt nicht, insbesondere die Gerichte (Dumplings waren ok). Insbesondere die Soßen sind stark eingedeutscht. Dazu ist der Service (speziell ein kleiner Herr mit Brille) äußerst unfreundlich und lustlos. Schade, daraus hätte man mehr machen können.",1,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
"Tolles Essen, tolle Atmosphäre, leckere Getränke (besonders der Cocktail in der Teekanne). Ein absolutes Muss für jeden Dim Sum und Dumpling-Fan. Abends gibt es hier ein Menü für einen festen Preis und man kann sich verschiedene Speisen aussuchen.",5,vor 3 Jahren,SEEN+RESTAURANT,2022-06-26
Sehr leckeres Essen ich werde auf jeden Fall wieder kommen sehr empfehlenswert und das Eis war bisher das beste was ich in München gegessen habe 😁,5,vor 11 Monaten,SEEN+RESTAURANT,2022-06-26
"Das Essen abends war leider nicht so gut, allerdings war der Service sehr gut und auch sehr bemüht. Die Bewertungen sind leider auch nicht Ernst zu nehmen weil gute Bewertungen mit einer Nachspeise aufs Haus belohnt werden. Diese hier ist aber echt!!",3,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
Einfach super lecker!,5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
Sehr gutes asiatisches Essen. Einer der besten Restaurants in München. Die Ambiente ist auch sehr zusagend. Die Preise sind gut für München und sind es auf jeden Fall Wert. Für jeden findet man hier was zu Essen.,5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Sehr gutes Essen in direkter Nachbarschaft und guter Service mit aufmerksamen Gastgebern. Wunderbare Auswahl an selbstgemachten Dumplins. Da findet man spannende Kreationen, die lecker schmecken.",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
"Sehr leckeres Essen und immer super freundlichen Bedienungen. Man muss mal hin und die speziellen Speisen probieren. Nachtisch ist auch empfehlenswert, schmeckt sehr gut.",5,vor 2 Jahren,SEEN+RESTAURANT,2022-06-26
